,word,read,hinshi,score
535,大福,だいふく,名詞,1
536,珍,ちん,名詞,1
537,微笑ましい,ほほえましい,形容詞,1
538,賢,けん,名詞,1
539,楽寝,らくね,名詞,1
540,愛妻,あいさい,名詞,1
541,特選,とくせん,名詞,1
542,大器,たいき,名詞,1
543,精彩,せいさい,名詞,1
544,めっけ物,めっけもの,名詞,1
545,鋭気,えいき,名詞,1
546,艶美,えんび,名詞,1
547,祝勝,しゅくしょう,名詞,1
548,明敏,めいびん,名詞,1
549,声名,せいめい,名詞,1
550,素志,そし,名詞,1
551,満満,まんまん,名詞,1
552,充溢,じゅういつ,名詞,1
553,一助,いちじょ,名詞,1
554,金鵄勲章,きんしくんしょう,名詞,1
555,上水,じょうすい,名詞,1
556,公平,こうへい,名詞,1
557,救う,すくう,動詞,1
558,端麗,たんれい,名詞,1
559,典麗,てんれい,名詞,1
560,晴朗,せいろう,名詞,1
561,盛年,せいねん,名詞,1
562,紳士,しんし,名詞,1
563,至誠,しせい,名詞,1
564,支援,しえん,名詞,1
565,文才,ぶんさい,名詞,1
566,名著,めいちょ,名詞,1
567,親しい,したしい,形容詞,1
568,雄渾,ゆうこん,名詞,1
569,絶勝,ぜっしょう,名詞,1
570,機知,きち,名詞,1
571,しゃきっと,しゃきっと,副詞,1
572,変革,へんかく,名詞,1
573,栄誉,えいよ,名詞,1
574,美姫,びき,名詞,1
575,有難い,ありがたい,形容詞,1
576,ＯＫ,オーケー,名詞,1
577,爽快,そうかい,名詞,1
578,卓論,たくろん,名詞,1
579,福運,ふくうん,名詞,1
580,冥利,みょうり,名詞,1
581,優越感,ゆうえつかん,名詞,1
582,全快,ぜんかい,名詞,1
583,英,えい,名詞,1
584,偉観,いかん,名詞,1
585,にっこり,にっこり,副詞,1
586,名将,めいしょう,名詞,1
587,見頃,みごろ,名詞,1
588,聖帝,せいてい,名詞,1
589,ぴか一,ぴかいち,名詞,1
590,大聖,たいせい,名詞,1
591,美美しい,びびしい,形容詞,1
592,上機嫌,じょうきげん,名詞,1
593,功科,こうか,名詞,1
594,寛ぐ,くつろぐ,動詞,1
595,強国,きょうこく,名詞,1
596,気炎,きえん,名詞,1
597,祝着,しゅうちゃく,名詞,1
598,妙趣,みょうしゅ,名詞,1
599,広壮,こうそう,名詞,1
600,君徳,くんとく,名詞,1
601,功徳,くどく,名詞,1
602,俊傑,しゅんけつ,名詞,1
603,上分別,じょうふんべつ,名詞,1
604,天才,てんさい,名詞,1
605,良辰,りょうしん,名詞,1
606,流涎,りゅうぜん,名詞,1
607,面白い,おもしろい,形容詞,1
608,小町,こまち,名詞,1
609,敏捷,びんしょう,名詞,1
610,貴顕,きけん,名詞,1
611,声望,せいぼう,名詞,1
612,人望,じんぼう,名詞,1
613,美名,びめい,名詞,1
614,特,とく,名詞,1
615,さばさば,さばさば,名詞,1
616,のんびり,のんびり,副詞,1
617,褒美,ほうび,名詞,1
618,碩徳,せきとく,名詞,1
619,優越,ゆうえつ,名詞,1
620,寛厚,かんこう,名詞,1
621,粒選り,つぶより,名詞,1
622,機才,きさい,名詞,1
623,ぴちぴち,ぴちぴち,副詞,1
624,功業,こうぎょう,名詞,1
625,名園,めいえん,名詞,1
626,零れ幸い,こぼれざいわい,名詞,1
627,人徳,にんとく,名詞,1
628,妙諦,みょうてい,名詞,1
629,好配,こうはい,名詞,1
630,神神しい,こうごうしい,形容詞,1
631,融和,ゆうわ,名詞,1
632,女丈夫,じょじょうふ,名詞,1
633,別懇,べっこん,名詞,1
634,名勝,めいしょう,名詞,1
635,卓見,たっけん,名詞,1
636,才徳,さいとく,名詞,1
637,御慶,ぎょけい,名詞,1
638,一頭地,いっとうち,名詞,1
639,冠絶,かんぜつ,名詞,1
640,矜持,きょうじ,名詞,1
641,軽捷,けいしょう,名詞,1
642,浮き浮き,うきうき,副詞,1
643,歓,かん,名詞,1
644,長所,ちょうしょ,名詞,1
645,光被,こうひ,名詞,1
646,勤しむ,いそしむ,動詞,1
647,同ずる,どうずる,動詞,1
648,晴天,せいてん,名詞,1
649,盛徳,せいとく,名詞,1
650,上天気,じょうてんき,名詞,1
651,絶賛,ぜっさん,名詞,1
652,豊,ほう,名詞,1
653,快事,かいじ,名詞,1
654,懇情,こんじょう,名詞,1
655,郁,いく,名詞,1
656,適職,てきしょく,名詞,1
657,神様,かみさま,名詞,1
658,しゃきしゃき,しゃきしゃき,副詞,1
659,堅実,けんじつ,名詞,1
660,援引,えんいん,名詞,1
661,適える,かなえる,動詞,1
662,褒めちぎる,ほめちぎる,動詞,1
663,美禄,びろく,名詞,1
664,英邁,えいまい,名詞,1
665,堂堂,どうどう,副詞,1
666,人物,じんぶつ,名詞,1
667,一粒選り,ひとつぶえり,名詞,1
668,出来物,できぶつ,名詞,1
669,恩愛,おんあい,名詞,1
670,いざとい,いざとい,形容詞,1
671,国士無双,こくしむそう,名詞,1
672,慶色,けいしょく,名詞,1
673,静静,しずしず,副詞,1
674,賞用,しょうよう,名詞,1
675,喜,き,名詞,1
676,睦まじい,むつまじい,形容詞,1
677,健勝,けんしょう,名詞,1
678,世知,せち,名詞,1
679,執成す,とりなす,動詞,1
680,手早い,てばやい,形容詞,1
681,剛勇,ごうゆう,名詞,1
682,床しい,ゆかしい,形容詞,1
683,ライバル,ライバル,名詞,1
684,平癒,へいゆ,名詞,1
685,名妓,めいぎ,名詞,1
686,入神,にゅうしん,名詞,1
687,悟る,さとる,動詞,1
688,無比,むひ,名詞,1
689,睦,ぼく,名詞,1
690,若鮎,わかあゆ,名詞,1
691,卓絶,たくぜつ,名詞,1
692,改まる,あらたまる,動詞,1
693,好手,こうしゅ,名詞,1
694,強大,きょうだい,名詞,1
695,改心,かいしん,名詞,1
696,見栄え,みばえ,名詞,1
697,賢夫人,けんぷじん,名詞,1
698,勇壮,ゆうそう,名詞,1
699,手頃,てごろ,名詞,1
700,大作,たいさく,名詞,1
701,賢母,けんぼ,名詞,1
702,武功,ぶこう,名詞,1
703,秀歌,しゅうか,名詞,1
704,義気,ぎき,名詞,1
705,良品,りょうひん,名詞,1
706,明哲,めいてつ,名詞,1
707,すっぱり,すっぱり,副詞,1
708,力持,ちからもち,名詞,1
709,英姿,えいし,名詞,1
710,優,ゆう,名詞,1
711,文豪,ぶんごう,名詞,1
712,妙技,みょうぎ,名詞,1
713,名論,めいろん,名詞,1
714,玉楼,ぎょくろう,名詞,1
715,ときめく,ときめく,動詞,1
716,知勇,ちゆう,名詞,1
717,養生,ようじょう,名詞,1
718,ときめかす,ときめかす,動詞,1
719,喜寿,きじゅ,名詞,1
720,巨魁,きょかい,名詞,1
